cprovincia	cciudad	cparroquia	nombre	zona
11	09	01	CATACOCHA	U
11	09	02	LOURDES	U
11	09	50	CATACOCHA, CABECERA CANTONAL	U
11	09	51	CANGONAMA	R
11	09	52	GUACHANAMA	R
11	09	53	*LA TINGUE	R
11	09	54	LAURO GUERRERO	R
11	09	55	*OLMEDO (SANTA BARBARA)	R
11	09	56	ORIANGA	R
11	09	57	SAN ANTONIO	R
11	09	58	CASANGA	R
11	09	59	YAMANA	R
11	10	50	ALAMOR, CABECERA CANTONAL	U
11	10	51	CIANO	R
11	10	52	EL ARENAL	R
11	10	53	EL LIMO (MARIANA DE JESUS)	R
11	10	54	MERCADILLO	R
11	10	55	VICENTINO	R
11	11	50	SARAGURO, CABECERA CANTONAL	U
11	11	51	EL PARAISO DE CELEN	R
11	11	52	EL TABLON	R
11	11	53	LLUZHAPA	R
11	11	54	MANU	R
11	11	55	SAN ANTONIO DE QUMBE (CUMBE)	R
11	11	56	SAN PABLO DE TENTA	R
11	11	57	SAN SEBASTIAN DE YULUC	R
11	11	58	SELVA ALEGRE	R
11	11	59	URDANETA (PAQUISHAPA)	R
11	12	50	SOZORANGA, CABECERA CANTONAL	U
11	12	51	NUEVA FATIMA	R
11	12	52	TACAMOROS	R
11	13	50	ZAPOTILLO, CABECERA CANTONAL	U
11	13	51	CAZADEROS (CAB.EN MANGAURCO)	R
11	13	52	GARZAREAL	R
11	13	53	LIMONES	R
11	13	54	PALETILLAS	R
11	14	50	PINDAL, CABECERA CANTONAL	U
11	14	51	CHAQUINAL	R
11	15	50	QUILANGA, CABECERA CANTONAL	U
11	15	51	FUNDOCHAMBA	R
11	16	50	OLMEDO, CABECERA CANTONAL	U
11	16	51	LA TINGUE	R
12	01	01	CLEMENTE BAQUERIZO	U
12	01	02	DR. CAMILO PONCE	U
12	01	03	BARREIRO	U
12	01	04	EL SALTO	U
12	01	50	BABAHOYO, CABECERA CANTONAL Y CAPITAL PROVINCIAL	U
12	01	51	*BARREIRO (SANTA RITA)	R
12	01	52	CARACOL	R
12	02	50	BABA, CABECERA CANTONAL	U
12	02	51	GUARE	R
12	02	52	ISLA DE BEJUCAL	R
12	03	50	MONTALVO, CABECERA CANTONAL	U
12	04	50	PUEBLOVIEJO, CABECERA CANTONAL	U
12	04	51	PUERTO PECHICHE	R
12	04	52	SAN JUAN	R
12	05	01	QUEVEDO	U
12	05	02	SAN CAMILO	U
12	05	03	*SAN JOSE	U
12	05	04	GUAYACAN	U
12	05	05	NICOLAS INFANTE DIAZ	U
22	04	54	SAN JOSE DE DAHUANO	R
22	04	55	SAN VICENTE DE HUATICOCHA	R
01	01	59	OCTAVIO CORDERO PALACIOS (SANTA ROSA)	R
01	05	59	SAN CRISTOBAL (CARLOS ORDOÑEZ LAZO)	R
01	01	15	HERMANO MIGUEL	U
07	01	52	EL RETIRO	R
07	02	50	ARENILLAS, CABECERA CANTONAL	U
07	02	51	CHACRAS	R
07	02	52	* LA LIBERTAD	R
07	02	54	PALMALES	R
07	02	55	CARCABON	R
07	03	50	PACCHA, CABECERA CANTONAL	U
07	03	51	AYAPAMBA	R
07	03	52	CORDONCILLO	R
07	03	53	MILAGRO	R
07	03	54	SAN JOSE	R
07	04	50	BALSAS, CABECERA CANTONAL	U
07	04	51	BELLAMARIA	R
07	05	50	CHILLA, CABECERA CANTONAL	U
07	06	50	EL GUABO, CABECERA CANTONAL	U
07	06	51	BARBONES (SUCRE)	R
07	06	52	LA IBERIA	R
07	07	01	ECUADOR	U
07	07	02	EL PARAISO	U
07	07	03	HUALTACO	U
07	07	04	MILTON REYES	U
07	07	05	UNION LOJANA	U
07	07	50	HUAQUILLAS, CABECERA CANTONAL	U
07	08	50	MARCABELI, CABECERA CANTONAL	U
07	08	51	EL INGENIO	R
07	09	01	BOLIVAR	U
07	09	02	LOMA DE FRANCO	U
07	09	03	OCHOA LEON (MATRIZ)	U
07	09	04	TRES CERRITOS	U
07	09	50	PASAJE, CABECERA CANTONAL	U
07	09	51	BUENAVISTA	R
07	09	52	CASACAY	R
07	09	53	LA PEAÑA	R
07	09	54	PROGRESO	R
07	09	55	UZHCURRUMI	R
07	09	56	CAÑAQUEMADA	R
07	10	01	LA MATRIZ	U
07	10	02	LA SUSAYA	U
07	10	03	PIÑAS GRANDE	U
07	10	50	PIÑAS, CABECERA CANTONAL	U
07	10	52	LA BOCANA	R
01	03	54	MARIANO MORENO	R
01	03	55	*PRINCIPAL	R
01	03	56	REMIGIO CRESPO TORAL (GULAG)	R
01	03	57	SAN JUAN	R
01	03	58	ZHIDMAD	R
01	03	59	LUIS CORDERO VEGA	R
01	04	50	NABON, CABECERA CANTONAL	U
01	04	51	COCHAPATA	R
01	04	52	EL PROGRESO (CAB.EN ZHOTA)	R
01	04	53	LAS NIEVES (CHAYA)	R
01	04	54	*OÑA	R
01	05	50	PAUTE, CABECERA CANTONAL	U
01	05	51	*AMALUZA	R
01	05	52	BULAN (JOSE VICTOR IZQUIERDO)	R
01	05	53	CHICAN (GUILLERMO ORTEGA)	R
01	05	54	EL CABO	R
01	05	55	*GUACHAPALA	R
01	05	56	GUARAINAG	R
01	05	57	*PALMAS	R
01	05	58	*PAN	R
01	05	60	*SEVILLA DE ORO	R
01	05	61	TOMEBAMBA	R
01	05	62	DUG DUG	R
01	06	50	PUCARA, CABECERA CANTONAL	U
01	06	51	*CAMILO PONCE ENRIQUEZ (CAB. EN RIO 7 DE MOLLEPONGO)	R
01	06	52	SAN RAFAEL DE SHARUG	R
01	07	50	SAN FERNANDO, CABECERA CANTONAL	U
01	07	51	CHUMBLIN	R
01	08	50	SANTA ISABEL (CHAGUARURCO), CABECERA CANTONAL	U
01	08	51	ABDON CALDERON (LA UNION)	R
01	08	52	**EL CARMEN DE PIJILI	R
01	08	53	ZHAGLLI (SHAGLLI)	R
01	09	50	SIGSIG, CABECERA CANTONAL	U
01	09	51	CUCHIL (CUTCHIL)	R
01	09	52	JIMA (GIMA)	R
01	09	53	GUEL	R
01	09	54	LUDO	R
01	09	55	SAN BARTOLOME	R
01	09	56	SAN JOSE DE RARANGA	R
01	10	50	SAN FELIPE DE OÑA CABECERA CANTONAL	U
01	10	51	SUSUDEL	R
01	11	50	CHORDELEG, CABECERA CANTONAL	U
01	11	51	PRINCIPAL	R
01	11	52	LA UNION	R
01	11	54	SAN MARTIN DE PUZHIO	R
01	12	50	EL PAN, CABECERA CANTONAL	U
01	12	51	*AMALUZA	R
01	12	52	*PALMAS	R
01	12	53	SAN VICENTE	R
01	13	50	SEVILLA DE ORO, CABECERA CANTONAL	U
01	13	51	AMALUZA	R
01	13	52	PALMAS	R
01	14	50	GUACHAPALA, CABECERA CANTONAL	U
02	01	01	ANGEL POLIBIO CHAVES	U
02	01	02	GABRIEL IGNACIO VEINTIMILLA	U
02	01	50	GUARANDA, CABECERA CANTONAL Y CAPITAL PROVINCIAL	U
02	01	51	FACUNDO VELA	R
02	01	52	* GUANUJO	R
02	01	54	*LAS NAVES	R
02	01	55	SALINAS	R
02	01	56	SAN LORENZO	R
02	01	57	SAN SIMON (YACOTO)	R
02	01	58	SANTAFE (SANTA FE)	R
02	01	59	SIMIATUG	R
02	01	60	SAN LUIS DE PAMBIL	R
02	02	50	CHILLANES, CABECERA CANTONAL	U
02	03	50	SAN JOSE DE CHIMBO, CABECERA CANTONAL	U
02	03	51	ASUNCION (ASANCOTO)	R
02	03	52	*CALUMA	R
02	03	53	MAGDALENA (CHAPACOTO)	R
02	03	54	SAN SEBASTIAN	R
02	03	55	TELIMBELA	R
02	04	50	ECHEANDIA, CABECERA CANTONAL	U
02	05	50	SAN MIGUEL, CABECERA CANTONAL	U
02	05	51	BALSAPAMBA	R
02	05	52	BILOVAN	R
02	05	53	REGULO DE MORA	R
02	05	55	SANTIAGO	R
02	05	56	SAN VICENTE	R
02	06	50	CALUMA, CABECERA CANTONAL	U
02	07	01	LAS MERCEDES	U
02	07	02	LAS NAVES	U
02	07	50	LAS NAVES, CABECERA CANTONAL	U
03	01	01	AURELIO BAYAS MARTINEZ	U
03	01	02	AZOGUES	U
03	01	03	BORRERO	U
03	01	04	SAN FRANCISCO	U
03	01	50	AZOGUES, CABECERA CANTONAL Y CAPITAL PROVINCIAL	U
03	01	51	COJITAMBO	R
03	01	52	*DELEG	R
03	01	53	GUAPAN	R
03	01	54	JAVIER LOYOLA (CHUQUIPATA)	R
03	01	55	LUIS CORDERO	R
03	01	56	PINDILIG	R
03	01	57	RIVERA	R
03	01	58	SAN MIGUEL	R
03	01	59	*SOLANO	R
03	01	60	TADAY	R
03	02	50	BIBLIAN, CABECERA CANTONAL	U
03	02	52	SAN FRANCISCO DE SAGEO	R
03	02	53	TURUPAMBA	R
03	02	54	JERUSALEN	R
03	03	50	CAÑAR, CABECERA CANTONAL	U
03	03	51	CHONTAMARCA	R
03	03	52	CHOROCOPTE	R
03	03	53	GENERAL MORALES (SOCARTE)	R
03	03	54	GUALLETURO	R
03	03	56	INGAPIRCA	R
03	03	57	JUNCAL	R
03	03	58	SAN ANTONIO	R
03	03	59	*SUSCAL	R
03	03	60	*TAMBO	R
03	03	62	VENTURA	R
03	03	63	DUCUR	R
03	04	50	LA TRONCAL, CABECERA CANTONAL	U
03	04	51	MANUEL J. CALLE	R
03	04	52	PANCHO NEGRO	R
03	05	50	EL TAMBO, CABECERA CANTONAL	U
03	06	50	DELEG, CABECERA CANTONAL	U
03	06	51	SOLANO	R
03	07	50	SUSCAL, CABECERA CANTONAL	U
04	01	01	GONZALEZ SUAREZ	U
04	01	02	TULCAN	U
04	01	50	TULCAN, CABECERA CANTONAL Y CAPITAL PROVINCIAL	U
04	01	51	EL CARMELO (EL PUN)	R
04	01	52	*HUACA	R
04	01	53	JULIO ANDRADE (OREJUELA)	R
04	01	54	MALDONADO	R
04	01	55	PIOTER	R
04	01	58	URBINA (TAYA)	R
04	01	59	EL CHICAL	R
04	01	60	*MARISCAL SUCRE	R
04	01	61	SANTA MARTHA DE CUBA	R
04	02	50	BOLIVAR, CABECERA CANTONAL	U
04	02	51	GARCIA MORENO	R
04	02	52	LOS ANDES	R
12	05	08	24 DE MAYO	U
12	05	09	VENUS DEL RIO QUEVEDO	U
12	05	10	VIVA ALFARO	U
12	05	06	SAN CRISTOBAL	U
12	05	07	SIETE DE OCTUBRE	U
12	05	50	QUEVEDO, CABECERA CANTONAL	U
12	05	51	*BUENA FE	R
12	05	52	*MOCACHE	R
12	05	53	SAN CARLOS	R
12	05	54	*VALENCIA	R
12	05	55	LA ESPERANZA	R
12	06	50	CATARAMA, CABECERA CANTONAL	U
12	06	51	RICAURTE	R
12	07	50	VENTANAS, CABECERA CANTONAL	U
12	07	51	*QUINSALOMA	R
12	07	52	ZAPOTAL	R
12	08	50	VINCES, CABECERA CANTONAL	U
12	08	52	*PALENQUE	R
12	09	50	PALENQUE, CABECERA CANTONAL	U
12	10	50	SAN JACINTO DE BUENA FE, CABECERA CANTONAL	U
12	10	51	PATRICIA PILAR	R
12	11	50	VALENCIA, CABECERA CANTONAL	U
12	12	50	MOCACHE, CABECERA CANTONAL	U
13	01	01	PORTOVIEJO	U
13	01	02	12 DE MARZO	U
13	01	03	COLON	U
13	01	04	PICOAZA	U
13	01	05	SAN PABLO	U
13	01	06	ANDRES DE VERA	U
13	01	50	PORTOVIEJO, CABECERA CANTONAL Y CAPITAL PROVINCIAL	U
13	01	51	ABDON CALDERON (SAN FRANCISCO)	R
13	01	52	ALHAJUELA (BAJO GRANDE)	R
13	01	53	CRUCITA	R
13	01	54	PUEBLO NUEVO	R
13	01	55	RIOCHICO (RIO CHICO)	R
13	01	56	SAN PLACIDO	R
13	01	57	CHIRIJOS	R
13	02	50	CALCETA, CABECERA CANTONAL	U
13	02	51	MEMBRILLO	R
13	02	52	QUIROGA	R
13	03	01	CHONE	U
13	03	02	SANTA RITA	U
13	03	50	CHONE, CABECERA CANTONAL	U
13	03	51	BOYACA	R
13	03	52	CANUTO	R
13	03	53	CONVENTO	R
13	03	54	CHIBUNGA	R
13	03	55	ELOY ALFARO	R
13	03	56	RICAURTE	R
13	03	57	SAN ANTONIO	R
13	04	01	EL CARMEN	U
13	04	02	4 DE DICIEMBRE	U
13	04	50	EL CARMEN, CABECERA CANTONAL	U
13	05	50	FLAVIO ALFARO, CABECERA CANTONAL	U
13	05	52	ZAPALLO	R
13	06	01	DR. MIGUEL MORAN LUCIO	U
13	06	02	MANUEL INOCENCIO PARRALES Y GUALE	U
13	06	51	AMERICA	R
13	06	53	JULCUY	R
13	06	54	LA UNION	R
13	06	55	*MACHALILLA	R
13	06	56	MEMBRILLAL	R
13	06	57	PEDRO PABLO GOMEZ	R
13	06	58	PUERTO DE CAYO	R
13	06	59	*PUERTO LOPEZ	R
13	07	50	JUNIN, CABECERA CANTONAL	U
13	08	01	LOS ESTEROS	U
13	08	02	MANTA	U
13	08	03	SAN MATEO	U
13	08	04	TARQUI	U
13	08	05	ELOY ALFARO	U
13	08	50	MANTA, CABECERA CANTONAL	U
13	08	51	SAN LORENZO	R
13	09	50	MONTECRISTI, CABECERA CANTONAL	U
13	09	51	*JARAMIJO	R
13	09	52	LA PILA	R
13	10	50	PAJAN, CABECERA CANTONAL	U
13	10	51	CAMPOZANO (LA PALMA DE PAJAN)	R
13	10	52	CASCOL	R
13	10	53	GUALE	R
13	10	54	LASCANO	R
13	11	50	PICHINCHA, CABECERA CANTONAL	U
13	11	51	BARRAGANETE	R
13	11	52	SAN SEBASTIAN	R
13	12	50	ROCAFUERTE, CABECERA CANTONAL	U
13	13	01	SANTA ANA	U
13	13	02	LODANA	U
13	13	50	SANTA ANA DE VUELTA LARGA, CABECERA CANTONAL	U
13	13	51	AYACUCHO	R
13	13	53	LA UNION	R
13	13	54	*OLMEDO	R
13	14	01	BAHIA DE CARAQUEZ	U
13	14	02	LEONIDAS PLAZA GUTIERREZ	U
13	14	50	BAHIA DE CARAQUEZ, CABECERA CANTONAL	U
13	14	51	* CANOA	R
13	14	52	*COJIMIES	R
13	14	53	CHARAPOTO	R
13	14	55	*JAMA	R
13	14	56	*PEDERNALES	R
13	14	58	*SAN VICENTE	R
13	15	50	TOSAGUA, CABECERA CANTONAL	U
13	16	50	SUCRE, CABECERA CANTONAL	U
13	16	51	BELLAVISTA	R
13	16	52	NOBOA	R
13	16	53	ARQ. SIXTO DURAN BALLEN	R
13	17	50	PEDERNALES, CABECERA CANTONAL	U
13	17	52	10 DE AGOSTO	R
13	17	53	ATAHUALPA	R
13	18	50	OLMEDO, CABECERA CANTONAL	U
13	19	50	PUERTO LOPEZ, CABECERA CANTONAL	U
13	19	51	MACHALILLA	R
13	19	52	SALANGO	R
13	20	50	JAMA, CABECERA CANTONAL	U
13	21	50	JARAMIJO, CABECERA CANTONAL	U
14	01	50	MACAS, CABECERA CANTONAL Y CAPITAL PROVINCIAL	U
